row,column,dnt24,ng
1,1,0.24,0.43
1,2,1.8,0.42
1,3,1.4,0.71
1,4,0.88,1
1,5,0.49,0.94
1,6,4.2,0.29
1,7,4.3,0.55
1,8,0.5,0.36
1,9,0.01,0.65
1,10,0.051,0.88
2,1,0.6,0.45
2,2,0.1,0.54
2,3,0.19,0.66
2,4,0.41,0.84
2,5,1.6,0.88
2,6,2.4,1
2,7,16,0.3
2,8,0.27,0.46
2,9,0.24,0.55
2,10,0.049,0.6
3,1,0.27,0.51
3,2,0.2,0.26
3,3,0.25,0.36
3,4,0.55,0.13
3,5,2,0.6
3,6,4,1.7
3,7,2.4,1.1
3,8,0.29,0.39
3,9,0.03,0.71
3,10,0.04,0.45
4,1,0.47,0.35
4,2,0.7,0.5
4,3,0.32,0.4
4,4,0.44,0.44
4,5,1.1,0.81
4,6,1.3,1.8
4,7,0.63,1.1
4,8,0.02,0.28
4,9,0.01,0
4,10,0.6,0.31
5,1,1.1,0.51
5,2,1.1,0.52
5,3,0.52,1.2
5,4,0.14,0.69
5,5,1.1,2.1
5,6,2.5,3.4
5,7,0.77,0.56
5,8,1.9,0.31
5,9,0.15,0.45
5,10,2.1,0.54
6,1,0.62,0
6,2,0.28,0
6,3,0.27,1.4
6,4,1,2.9
6,5,2.7,0.6
6,6,6.2,1.4
6,7,1.9,0.12
6,8,0.65,0
6,9,0.24,0.22
6,10,0.91,0.093
7,1,0.81,0.34
7,2,0.26,0.22
7,3,0.27,1.3
7,4,0.55,2.1
7,5,2.3,0.65
7,6,2.6,0.12
7,7,18,0.2
7,8,0.29,0.22
7,9,0.17,0
7,10,3.3,0.22
8,1,0.81,0.1
8,2,0.98,0.58
8,3,0.51,0.51
8,4,1.1,1.6
8,5,1.2,0.47
8,6,0.95,0.66
8,7,1.2,0.35
8,8,0.058,0.21
8,9,0.11,0.38
8,10,1.8,0.075
9,1,1.2,0.19
9,2,1.3,0.43
9,3,1.1,0.39
9,4,0.31,0.29
9,5,0.73,0.37
9,6,0.55,0.26
9,7,0.71,0
9,8,0.25,0.43
9,9,0.42,0.12
9,10,0.53,0.48
10,1,0.45,0
10,2,0.49,0.34
10,3,0.47,0.89
10,4,0.21,0.21
10,5,0.61,0.12
10,6,0.71,0.39
10,7,0.36,0.2
10,8,0.14,0
10,9,0.63,0.12
10,10,0.46,0.1
