row,column,tce
1,1,NA
1,2,0.18
1,3,0
1,4,0.43
1,5,NA
1,6,NA
1,7,0.3
1,8,0.05
1,9,4.7
1,10,0.63
1,11,0
2,1,0.16
2,2,2.3
2,3,0.23
2,4,0.26
2,5,NA
2,6,NA
2,7,0.26
2,8,0.12
2,9,4.1
2,10,0
2,11,0.13
3,1,0.05
3,2,6.2
3,3,0.33
3,4,0.64
3,5,NA
3,6,NA
3,7,0.39
3,8,0.4
3,9,0.77
3,10,0.35
3,11,0.84
4,1,0.09
4,2,6.1
4,3,0.35
4,4,0.58
4,5,NA
4,6,NA
4,7,1
4,8,2.4
4,9,5.2
4,10,0
4,11,1.5
5,1,0.24
5,2,2.8
5,3,0.88
5,4,1.1
5,5,NA
5,6,NA
5,7,0.49
5,8,2
5,9,8.9
5,10,1.6
5,11,0.22
6,1,0.22
6,2,6.5
6,3,1.1
6,4,1.5
6,5,NA
6,6,NA
6,7,0.88
6,8,1.6
6,9,5.1
6,10,2.5
6,11,0.48
7,1,1.1
7,2,7.9
7,3,0.17
7,4,1.3
7,5,NA
7,6,NA
7,7,2
7,8,6.6
7,9,7
7,10,0.76
7,11,1.6
8,1,0.31
8,2,5.9
8,3,1.5
8,4,0.3
8,5,NA
8,6,NA
8,7,1.2
8,8,5.6
8,9,2.3
8,10,1
8,11,0.34
9,1,1.9
9,2,8
9,3,1.5
9,4,4
9,5,NA
9,6,NA
9,7,2.7
9,8,4.9
9,9,14
9,10,3.9
9,11,3.2
10,1,1.4
10,2,0.29
10,3,1.4
10,4,2.6
10,5,NA
10,6,NA
10,7,2
10,8,1.1
10,9,14
10,10,8.4
10,11,3.1
11,1,4.7
11,2,6.6
11,3,0.3
11,4,3.3
11,5,26
11,6,21
11,7,2.6
11,8,12
11,9,23
11,10,8
11,11,0.7
12,1,1.8
12,2,6.6
12,3,1.3
12,4,4.6
12,5,54
12,6,27
12,7,2.4
12,8,13
12,9,210
12,10,4.7
12,11,5.7
13,1,8.5
13,2,7.9
13,3,0.19
13,4,3
13,5,16
13,6,28
13,7,2.1
13,8,4.2
13,9,30000
13,10,2.1
13,11,4.3
14,1,3
14,2,4.2
14,3,0.13
14,4,2.6
14,5,23
14,6,20
14,7,0.16
14,8,7.4
14,9,75
14,10,74
14,11,3.8
15,1,7.5
15,2,1.1
15,3,0.21
15,4,NA
15,5,23
15,6,20
15,7,0.22
15,8,570
15,9,220
15,10,62
15,11,4.6
16,1,9.2
16,2,0.15
16,3,0.17
16,4,NA
16,5,34
16,6,0.58
16,7,2.9
16,8,9
16,9,220
16,10,39
16,11,1.4
17,1,6.8
17,2,0.39
17,3,0.36
17,4,24
17,5,24
17,6,0.97
17,7,0.66
17,8,190
17,9,290
17,10,11
17,11,2
18,1,12
18,2,0.13
18,3,0.11
18,4,17
18,5,24
18,6,1.1
18,7,1.4
18,8,210
18,9,120
18,10,8.3
18,11,0.63
19,1,1
19,2,2.3
19,3,0.38
19,4,21
19,5,32
19,6,1.4
19,7,0.48
19,8,260
19,9,140
19,10,1.5
19,11,0.33
20,1,14
20,2,4.6
20,3,0.12
20,4,2
20,5,1.3
20,6,0.5
20,7,0.57
20,8,16
20,9,53
20,10,0.67
20,11,0.56
